0	white	7	0.17	0.74	\N	0.045	24	126	0.9942	3.26	0.38	12.2	8
1	red	7.7	0.64	0.21	2.2	0.077	32	133	0.9956	3.27	0.45	9.9	5
2	white	6.8	0.39	0.34	7.4	0.02	38	133	0.99212	3.18	0.44	12	\N
3	white	6.3	0.28	0.47	\N	0.04	61	183	0.99592	3.12	0.51	9.5	6
4	white	7.4	0.35	0.2	13.9	0.054	63	229	0.99888	3.11	0.5	8.9	\N
5	red	7.2	0.53	0.14	2.1	0.064	15	29	0.99323	3.35	0.61	12.1	6
6	white	7.5	0.27	0.31	17.7	0.051	33	173	0.999	3.09	0.64	10.2	5
7	white	6.8	0.11	0.27	8.6	0.044	45	104	0.99454	3.2	0.37	9.9	\N
8	red	9	0.44	0.49	2.4	0.078	26	121	0.9978	3.23	0.58	9.2	5
9	white	7.1	0.23	0.3	2.6	0.034	62	148	0.99121	3.03	0.56	11.3	7
10	white	7.4	0.28	0.42	19.8	0.066	53	195	1	2.96	0.44	9.1	5
11	white	7.8	0.28	0.22	1.4	0.056	24	130	0.9944	3.28	0.48	9.5	5
12	white	6.2	0.21	0.28	5.7	0.028	45	121	0.99168	3.21	1.08	12.15	\N
13	red	8.1	0.725	0.22	2.2	0.072	11	41	0.9967	3.36	0.55	9.1	5
14	red	5.2	0.48	0.04	\N	0.054	19	106	0.9927	3.54	0.62	12.2	7
15	white	6.5	0.28	0.27	5.2	0.04	44	179	0.9948	3.19	0.69	9.4	6
16	red	7.9	0.69	0.21	2.1	0.08	33	141	0.9962	3.25	0.51	9.9	\N
17	white	8.6	0.33	0.34	\N	0.059	42	240	0.99882	3.17	0.52	10	6
18	white	5.1	0.33	0.27	6.7	0.022	44	129	0.99221	3.36	0.39	11	7
19	white	6.5	0.22	0.5	16.4	0.048	36	182	0.99904	3.02	0.49	8.8	6
20	white	6.2	0.25	0.54	7	0.046	58	176	0.99454	3.19	0.7	10.4	5
21	white	5.1	0.35	0.26	6.8	0.034	36	120	0.99188	3.38	0.4	11.5	6
22	white	7	0.35	0.3	6.5	0.028	27	87	0.9936	3.4	0.42	11.4	7
23	white	6.7	0.35	0.32	\N	0.032	29	113	0.99188	3.13	0.65	12.9	7
24	white	7.3	0.25	0.36	13.1	0.05	35	200	0.9986	3.04	0.46	8.9	7
25	white	6.3	0.26	0.42	7.1	0.045	62	209	0.99544	3.2	0.53	9.5	6
26	white	7.6	0.31	0.29	10.5	0.04	21	145	0.9966	3.04	0.35	9.4	5
27	white	7.3	0.22	0.41	15.4	0.05	55	191	1	3.32	0.59	8.9	6
28	red	7.8	0.52	0.25	1.9	0.081	14	38	0.9984	3.43	0.65	9	6
29	red	7.8	0.57	0.09	2.3	0.065	34	45	0.99417	3.46	0.74	12.7	8
30	red	7.3	0.59	0.26	2	0.08	17	104	0.99584	3.28	0.52	9.9	5
31	white	5.2	0.36	0.02	\N	0.031	24	104	0.9896	3.44	0.35	12.2	6
32	red	8.2	0.78	0	2.2	0.089	13	26	0.9978	3.37	0.46	9.6	4
33	white	6.8	0.16	0.4	2.3	0.037	18	102	0.9923	3.49	0.42	11.4	7
34	red	7	0.78	0.08	2	0.093	10	19	0.9956	3.4	0.47	10	5
35	white	6	0.31	0.38	4.8	0.04	41	101	0.98968	3.24	0.56	13.1	6
36	red	7.2	0.56	0.26	2	0.083	13	100	0.99586	3.26	0.52	9.9	5
37	red	7.6	0.51	0.24	\N	0.091	8	38	0.998	3.47	0.66	9.6	6
38	white	7	0.17	0.36	6.4	0.055	42	123	0.99318	3.11	0.5	11	8
39	white	7.6	0.445	0.44	14.5	0.045	68	212	0.9986	3.48	0.36	10	\N
40	white	8.1	0.22	0.43	1.5	0.044	28	129	0.9938	3.22	0.45	11	6
41	red	6.8	0.775	0	3	0.102	8	23	0.9965	3.45	0.56	10.7	5
42	white	6.4	0.21	0.28	5.9	0.047	29	101	0.99278	3.15	0.4	11	6
43	white	7.5	0.23	0.29	2.6	0.031	24	98	0.99194	3	0.54	10.9	6
44	red	6.9	0.685	0	2.5	0.105	22	37	0.9966	3.46	0.57	10.6	6
45	white	6.3	0.21	0.4	1.7	0.031	48	134	0.9917	3.42	0.49	11.5	6
